Car Model,Country,City,Price,QuantitySold,Sale,DateOfSale,CustomerID,CustomerName,Age,Gender,CarMake,CarModel,Year,CarType,PaymentMethod,SalespersonID,SalespersonName,DealershipLocation,Profit
Audi A4,UK,London,62660,10,626600,2028-07-08,CUST01359,Joshua Lee,47,Non-binary,Mercedes,Toyota Corolla,2005,Truck,Bank Transfer,SP068,Steven Evans,"Matthewmouth, Aruba",5597
Toyota Corolla,Italy,Palermo,93101,4,372404,2028-07-09,CUST01360,Jessica Mclean,44,Non-binary,Mercedes,Nissan Altima,2006,Truck,Lease,SP053,Nicholas Jacobs,"Lake Cassandra, Korea",3002
Kia Optima,Australia,Brisbane,27827,3,83481,2028-07-10,CUST01361,Gina Jones,57,Female,Mercedes,Mercedes C-Class,2002,Hatchback,Credit Card,SP042,Amanda White,"North Logan, Solomon Islands",5119
Honda Civic,Australia,Adelaide,27021,5,135105,2028-07-11,CUST01362,Jeffrey Carey,41,Male,Hyundai,Chevrolet Malibu,2014,SUV,Cash,SP043,Courtney Bennett,"South Xaviermouth, Liechtenstein",3826
Honda Civic,Canada,Vancouver,11811,6,70866,2028-07-12,CUST01363,Candice Guerra,59,Female,Honda,Toyota Corolla,2001,Convertible,Bank Transfer,SP067,Victor Blanchard,"New Amanda, Ukraine",14037
Hyundai Elantra,USA,New York,23456,9,211104,2028-07-13,CUST01364,Javier Hawkins,38,Female,Chevrolet,BMW 3 Series,2014,Minivan,Bank Transfer,SP015,David Hoover,"Sharonview, Benin",4132
Mercedes C-Class,France,Toulouse,92412,6,554472,2028-07-14,CUST01365,Anne Morris,66,Female,Mercedes,Kia Optima,2022,Coupe,Credit Card,SP088,Helen Brooks,"Campbellside, Lithuania",1588
Honda Civic,UK,Manchester,69932,8,559456,2028-07-15,CUST01366,Timothy Mullen,51,Non-binary,BMW,Chevrolet Malibu,2009,SUV,Cash,SP032,Daniel Daniels,"North John, Mauritius",8888
Kia Optima,UK,Leeds,56168,5,280840,2028-07-16,CUST01367,Peter Harrison,19,Female,Toyota,Audi A4,2018,Truck,Credit Card,SP052,Lisa Russell,"New Daniel, Brunei Darussalam",8251
Ford Focus,India,Mumbai,40487,2,80974,2028-07-17,CUST01368,Leslie Richardson,47,Female,Chevrolet,Honda Civic,2004,Truck,Bank Transfer,SP075,Clayton Johnson,"Lake Charlesfurt, Albania",5669
Ford Focus,France,Lyon,45925,10,459250,2028-07-18,CUST01369,Jeanne Adams,23,Female,Honda,Hyundai Elantra,2009,SUV,Cash,SP001,Amy Roth,"West Darrylfort, Singapore",13994
Chevrolet Malibu,Canada,Ottawa,52924,1,52924,2028-07-19,CUST01370,David Ortiz,71,Male,Toyota,Chevrolet Malibu,2014,Minivan,Bank Transfer,SP009,Amy Moore,"New Tony, Chile",2919
Chevrolet Malibu,China,Guangzhou,92427,3,277281,2028-07-20,CUST01371,Andrew Harris,38,Non-binary,Hyundai,Kia Optima,2000,Hatchback,Lease,SP053,Dawn Brown,"Miguelport, Italy",1075
BMW 3 Series,France,Marseille,46770,10,467700,2028-07-21,CUST01372,Ellen Guzman,18,Non-binary,Ford,Kia Optima,2005,Hatchback,Bank Transfer,SP042,Jamie Brown,"Franklinside, Zambia",9429
Nissan Altima,Australia,Sydney,31453,5,157265,2028-07-22,CUST01373,Connor Young,38,Female,Chevrolet,Nissan Altima,2020,Minivan,Cash,SP079,Eddie Fernandez DDS,"Ravenfort, Bolivia",12714
Chevrolet Malibu,Canada,Montreal,85522,4,342088,2028-07-23,CUST01374,Beverly Johnson,58,Female,BMW,BMW 3 Series,2021,Coupe,Lease,SP092,Alejandro Roberson,"East Aarontown, Swaziland",12534
Honda Civic,France,Toulouse,52946,1,52946,2028-07-24,CUST01375,Alyssa Newman,74,Female,Kia,Toyota Corolla,2000,Minivan,Lease,SP080,Justin Wheeler,"North Melissashire, Haiti",8027
BMW 3 Series,Japan,Tokyo,48502,10,485020,2028-07-25,CUST01376,Jordan Carter,73,Non-binary,Kia,Nissan Altima,2021,Sedan,Bank Transfer,SP017,Toni Pratt MD,"South Donna, Svalbard & Jan Mayen Islands",14718
Chevrolet Malibu,Japan,Nagoya,22260,1,22260,2028-07-26,CUST01377,Kiara Wilkinson,72,Male,BMW,Ford Focus,2022,Coupe,Cash,SP065,Joseph Murray,"West Ann, Dominican Republic",2401
Kia Optima,USA,Phoenix,24615,2,49230,2028-07-27,CUST01378,Michelle Williams,28,Female,Mercedes,BMW 3 Series,2001,Truck,Credit Card,SP061,Richard Bryan,"Terrybury, Brunei Darussalam",12073
Mercedes C-Class,India,Mumbai,46622,3,139866,2028-07-28,CUST01379,Julie Wade,49,Non-binary,Ford,Audi A4,2010,Sedan,Credit Card,SP054,Diane Hamilton,"Lake Stephenchester, Saint Pierre and Miquelon",4789
Kia Optima,France,Toulouse,42886,6,257316,2028-07-29,CUST01380,Joseph Miller,55,Non-binary,Honda,BMW 3 Series,2013,Sedan,Credit Card,SP066,Heather Marshall,"Staceyside, United Arab Emirates",6456
Audi A4,Australia,Sydney,48533,8,388264,2028-07-30,CUST01381,Lauren Russell,70,Female,BMW,Audi A4,2018,Truck,Cash,SP027,Juan Martin,"Smithshire, Belgium",13911
Mercedes C-Class,France,Marseille,60498,10,604980,2028-07-31,CUST01382,Robert Berry,48,Non-binary,Nissan,BMW 3 Series,2004,SUV,Cash,SP075,Scott Oliver,"Jamesfurt, Congo",5824
Honda Civic,Australia,Sydney,83674,5,418370,2028-08-01,CUST01383,Nathaniel Turner,66,Non-binary,Chevrolet,Mercedes C-Class,2009,Hatchback,Bank Transfer,SP066,Maria Weaver,"South Jean, Botswana",4651
Nissan Altima,Germany,Frankfurt,40256,7,281792,2028-08-02,CUST01384,Anna Smith,28,Non-binary,Honda,Ford Focus,2017,Sedan,Cash,SP006,Jordan Barber,"East Christopher, Solomon Islands",3521
Honda Civic,Germany,Munich,64380,5,321900,2028-08-03,CUST01385,Zachary Brown,45,Non-binary,BMW,Ford Focus,2011,Coupe,Credit Card,SP076,Kenneth Frank,"Amandastad, Niue",5130
Audi A4,Australia,Melbourne,43511,7,304577,2028-08-04,CUST01386,Taylor Carson,33,Female,Chevrolet,Kia Optima,2008,Hatchback,Lease,SP065,Roberta Sanders,"Smithberg, Chile",2706
Chevrolet Malibu,Australia,Perth,13233,7,92631,2028-08-05,CUST01387,Robin Rowe,71,Female,Honda,Nissan Altima,2023,SUV,Cash,SP050,Kristin Gomez,"North Brenda, Albania",3803
Ford Focus,Italy,Rome,49120,3,147360,2028-08-06,CUST01388,Steven Lopez,70,Female,Ford,Ford Focus,2019,Minivan,Cash,SP087,Jennifer Davis,"North Roberto, Swaziland",7700
Nissan Altima,Australia,Brisbane,79674,2,159348,2028-08-07,CUST01389,Wesley Lynch,51,Male,Honda,Chevrolet Malibu,2020,Truck,Bank Transfer,SP018,Andrea Hunter,"New Emilybury, Congo",4210
Nissan Altima,Japan,Sapporo,35911,3,107733,2028-08-08,CUST01390,Joseph Smith,73,Female,Ford,Nissan Altima,2008,Sedan,Bank Transfer,SP080,Alison Gross,"Alexhaven, Kiribati",3616
Audi A4,Japan,Nagoya,10897,1,10897,2028-08-09,CUST01391,Louis Perry,75,Non-binary,Audi,Chevrolet Malibu,2011,Sedan,Lease,SP061,Heidi Wood,"West Rachael, Montserrat",7954
Audi A4,Australia,Adelaide,87840,6,527040,2028-08-10,CUST01392,Steven Gonzalez,40,Non-binary,BMW,Mercedes C-Class,2001,Sedan,Cash,SP063,Joseph Rogers,"Anthonychester, Kazakhstan",14299
Nissan Altima,France,Nice,93973,4,375892,2028-08-11,CUST01393,Kimberly Watkins,49,Non-binary,Toyota,Mercedes C-Class,2020,SUV,Bank Transfer,SP041,Melissa Wade,"Timothyberg, Philippines",3334
Kia Optima,India,Bangalore,87423,3,262269,2028-08-12,CUST01394,Nicole Orr,59,Male,Ford,Audi A4,2015,Sedan,Credit Card,SP003,Wayne Perkins,"Petersburgh, Gambia",10269
BMW 3 Series,Italy,Palermo,84896,1,84896,2028-08-13,CUST01395,Kenneth Pearson DDS,49,Female,Honda,Kia Optima,2007,Convertible,Bank Transfer,SP011,Ivan Johnson,"Troyberg, Libyan Arab Jamahiriya",7613
Mercedes C-Class,Australia,Brisbane,43124,3,129372,2028-08-14,CUST01396,Christine Duke,30,Male,BMW,Mercedes C-Class,2010,Sedan,Credit Card,SP039,Peter Lewis,"Foxhaven, Saint Pierre and Miquelon",13083
Hyundai Elantra,France,Lyon,83759,9,753831,2028-08-15,CUST01397,Christopher Vasquez,43,Male,Nissan,Nissan Altima,2010,Coupe,Bank Transfer,SP033,David Rivera,"Conleyfort, Mayotte",656
Nissan Altima,UK,Birmingham,38742,8,309936,2028-08-16,CUST01398,Melissa Bailey,57,Female,Nissan,Toyota Corolla,2013,Minivan,Cash,SP089,Lisa Cortez,"Youngmouth, Syrian Arab Republic",7835
Toyota Corolla,Germany,Cologne,98716,4,394864,2028-08-17,CUST01399,Kathryn Hernandez,25,Non-binary,Toyota,BMW 3 Series,2005,SUV,Cash,SP001,Kayla Martin,"Johnland, Pitcairn Islands",12003
BMW 3 Series,Japan,Yokohama,33127,6,198762,2028-08-18,CUST01400,Dwayne Waters,65,Female,Mercedes,Chevrolet Malibu,2021,Truck,Bank Transfer,SP010,Chelsey Palmer,"Josephland, Macao",6294
Kia Optima,India,Delhi,91583,2,183166,2028-08-19,CUST01401,Wendy White,55,Female,Kia,Mercedes C-Class,2009,Truck,Credit Card,SP013,Fernando Ingram,"New Johntown, Pakistan",2044
Honda Civic,Germany,Hamburg,14609,6,87654,2028-08-20,CUST01402,Katelyn Mcdonald,70,Non-binary,Nissan,Ford Focus,2007,Truck,Cash,SP052,Jeffrey Glass,"Mccormickview, Papua New Guinea",1528
Audi A4,UK,Manchester,82012,4,328048,2028-08-21,CUST01403,Julian Randall,69,Male,Mercedes,Kia Optima,2006,Hatchback,Bank Transfer,SP025,Jonathan Solis,"Port Matthewland, Japan",12748
Kia Optima,France,Marseille,85489,3,256467,2028-08-22,CUST01404,Melissa Robertson,27,Male,Mercedes,Hyundai Elantra,2000,SUV,Credit Card,SP073,Penny Dunn,"Lake Shawnhaven, American Samoa",4647
Chevrolet Malibu,Canada,Vancouver,37217,6,223302,2028-08-23,CUST01405,Tiffany Burgess,42,Non-binary,Chevrolet,Hyundai Elantra,2014,Convertible,Cash,SP021,Jean Smith,"Mariafort, Sao Tome and Principe",14227
Nissan Altima,Japan,Nagoya,29481,3,88443,2028-08-24,CUST01406,John Berry,36,Non-binary,Ford,Hyundai Elantra,2002,Convertible,Lease,SP042,Stephen Fischer,"Anthonytown, New Zealand",3864
Ford Focus,Japan,Nagoya,81431,10,814310,2028-08-25,CUST01407,Mary Dean,24,Non-binary,Toyota,Chevrolet Malibu,2008,Sedan,Bank Transfer,SP099,Michael Miles,"Kennethborough, Cote d'Ivoire",1651
Honda Civic,Canada,Vancouver,75649,10,756490,2028-08-26,CUST01408,Wanda Smith,66,Non-binary,Kia,Kia Optima,2015,SUV,Lease,SP003,Anthony Thomas,"Barnettstad, Djibouti",9225
Honda Civic,USA,Houston,61291,5,306455,2028-08-27,CUST01409,Christian Anderson,40,Female,BMW,Kia Optima,2011,Sedan,Credit Card,SP064,Eric Deleon,"Robertschester, Mauritius",13743
Toyota Corolla,Japan,Nagoya,71969,5,359845,2028-08-28,CUST01410,Benjamin Clark,22,Female,Mercedes,Mercedes C-Class,2009,Coupe,Lease,SP088,Kimberly Garrett,"Lake Christinafort, United Arab Emirates",12079
Hyundai Elantra,China,Shenzhen,33135,4,132540,2028-08-29,CUST01411,Richard Sandoval,20,Non-binary,Ford,Ford Focus,2008,Coupe,Bank Transfer,SP031,Dawn Donaldson,"Robertburgh, Turks and Caicos Islands",6615
BMW 3 Series,Italy,Milan,85664,1,85664,2028-08-30,CUST01412,Paul Reed,52,Non-binary,Honda,Ford Focus,2022,Hatchback,Cash,SP040,Ruben Lin,"East Jose, Greece",11167
Mercedes C-Class,UK,Glasgow,18809,10,188090,2028-08-31,CUST01413,Sarah Hamilton,59,Female,Kia,Honda Civic,2011,Truck,Credit Card,SP029,Brooke Williams,"New Phillipchester, New Zealand",14352
Mercedes C-Class,UK,Glasgow,38325,3,114975,2028-09-01,CUST01414,Brittany Smith,34,Female,Mercedes,Audi A4,2016,Coupe,Bank Transfer,SP013,Elizabeth Mitchell,"Harrellville, Guinea-Bissau",8859
Audi A4,Australia,Adelaide,88434,9,795906,2028-09-02,CUST01415,Jeffrey Jones,61,Non-binary,Chevrolet,BMW 3 Series,2003,Truck,Lease,SP010,Jon Kerr,"Williamsfort, Zambia",1829
Ford Focus,UK,London,13611,7,95277,2028-09-03,CUST01416,Lisa Ruiz,48,Female,Toyota,Nissan Altima,2007,Coupe,Bank Transfer,SP080,Maria Rogers,"East Nicoleland, Gibraltar",899
Audi A4,UK,Manchester,32372,5,161860,2028-09-04,CUST01417,Jane Mcdowell,54,Male,Kia,Kia Optima,2012,Truck,Credit Card,SP085,Darlene Jackson,"Teresafort, Svalbard & Jan Mayen Islands",5979
Mercedes C-Class,Italy,Turin,36656,1,36656,2028-09-05,CUST01418,Zachary Brooks,54,Male,Kia,Toyota Corolla,2014,SUV,Lease,SP015,Patricia Gonzalez,"Lake Mary, Zambia",14939
BMW 3 Series,UK,Birmingham,61862,7,433034,2028-09-06,CUST01419,Blake Jackson,41,Non-binary,Hyundai,Honda Civic,2023,Convertible,Cash,SP096,Mary Chen,"East Kristine, Argentina",3686
Nissan Altima,Japan,Tokyo,55649,7,389543,2028-09-07,CUST01420,Charles Hart,39,Male,Nissan,Toyota Corolla,2022,Convertible,Cash,SP029,Kathy Ortega,"North Brenda, Bolivia",5904
BMW 3 Series,Australia,Sydney,69446,2,138892,2028-09-08,CUST01421,Melissa Aguilar,74,Male,Mercedes,Nissan Altima,2014,Sedan,Cash,SP080,David Kelley,"East Samuel, Palestinian Territory",12046
Audi A4,India,Hyderabad,15456,5,77280,2028-09-09,CUST01422,Susan Rice,46,Non-binary,Kia,Audi A4,2016,Minivan,Cash,SP084,David Black,"Port Randallstad, Guatemala",7992
Mercedes C-Class,India,Chennai,30242,10,302420,2028-09-10,CUST01423,Glenn Smith,70,Non-binary,Nissan,Toyota Corolla,2023,Truck,Bank Transfer,SP100,Marilyn Blankenship,"Brandtbury, Djibouti",14094
Audi A4,USA,New York,62298,9,560682,2028-09-11,CUST01424,Christopher Macdonald,41,Non-binary,Kia,BMW 3 Series,2011,Convertible,Lease,SP059,Daniel Cole,"South Henry, Russian Federation",2726
Ford Focus,Italy,Palermo,24493,7,171451,2028-09-12,CUST01425,Bernard Moore,69,Male,Hyundai,Toyota Corolla,2016,Coupe,Lease,SP048,Patricia Lang,"Port Craig, Israel",4293
Kia Optima,Canada,Calgary,37161,4,148644,2028-09-13,CUST01426,Jeanette Griffith,66,Non-binary,Nissan,Hyundai Elantra,2005,Convertible,Bank Transfer,SP051,Frank Rodriguez,"West Jessicamouth, British Indian Ocean Territory (Chagos Archipelago)",1295
Audi A4,Canada,Montreal,42501,6,255006,2028-09-14,CUST01427,Kevin Sims,53,Male,Honda,Kia Optima,2023,SUV,Cash,SP058,Richard Smith,"Port Michael, Chile",9534
Audi A4,France,Lyon,45012,2,90024,2028-09-15,CUST01428,Vicki Huynh,58,Non-binary,Kia,BMW 3 Series,2000,Convertible,Credit Card,SP046,Michael Jackson,"West Karenside, Liberia",1049
Mercedes C-Class,UK,Glasgow,82089,6,492534,2028-09-16,CUST01429,Michelle Williams,47,Male,Audi,BMW 3 Series,2022,Truck,Cash,SP001,Ann Williamson,"New Reneebury, American Samoa",959
Mercedes C-Class,Australia,Perth,44319,4,177276,2028-09-17,CUST01430,Greg Reed,56,Female,Kia,Toyota Corolla,2008,SUV,Bank Transfer,SP078,Troy Dixon,"West Daniellefort, Jamaica",2442
Audi A4,Japan,Nagoya,99492,10,994920,2028-09-18,CUST01431,Michelle Quinn,45,Female,Chevrolet,BMW 3 Series,2014,Minivan,Bank Transfer,SP033,Kimberly Hernandez,"Marshallton, Nicaragua",8223
Honda Civic,Japan,Osaka,77636,6,465816,2028-09-19,CUST01432,Matthew Harris,21,Non-binary,Kia,Kia Optima,2019,Truck,Cash,SP027,Calvin Thompson,"New Erikburgh, American Samoa",11761
Nissan Altima,China,Chongqing,99248,8,793984,2028-09-20,CUST01433,Nicholas Williamson,49,Male,Hyundai,Mercedes C-Class,2005,Convertible,Lease,SP083,Austin Little,"North Valerie, Northern Mariana Islands",3595
Toyota Corolla,India,Bangalore,60407,9,543663,2028-09-21,CUST01434,Diane Coleman,55,Female,Ford,Chevrolet Malibu,2001,Coupe,Lease,SP082,Lisa Moreno,"Dodsonburgh, Uganda",9128
Chevrolet Malibu,India,Bangalore,33932,6,203592,2028-09-22,CUST01435,Nancy Mejia,54,Non-binary,Audi,Chevrolet Malibu,2019,SUV,Lease,SP045,Jamie Evans,"Lake Joy, Kenya",13931
BMW 3 Series,UK,Manchester,17097,4,68388,2028-09-23,CUST01436,John Harrison,60,Male,Nissan,Mercedes C-Class,2001,SUV,Cash,SP057,Lisa Knight,"North Amber, Anguilla",4039
Hyundai Elantra,India,Delhi,28627,2,57254,2028-09-24,CUST01437,Christine Gomez,75,Female,Mercedes,BMW 3 Series,2020,Coupe,Bank Transfer,SP045,Rebecca Chapman,"South Dianaberg, United States Virgin Islands",13010
Chevrolet Malibu,Germany,Berlin,16633,10,166330,2028-09-25,CUST01438,Steven Knight,43,Male,Kia,BMW 3 Series,2018,Coupe,Cash,SP038,Erin Shea,"West Carlton, Pakistan",13991
Hyundai Elantra,Australia,Sydney,18092,3,54276,2028-09-26,CUST01439,Joseph Salas,42,Female,Kia,Nissan Altima,2007,Convertible,Cash,SP073,Daniel Oliver,"Bruceburgh, Dominican Republic",9209
BMW 3 Series,UK,Birmingham,72183,10,721830,2028-09-27,CUST01440,Kimberly Castillo,39,Non-binary,Kia,Ford Focus,2019,Coupe,Cash,SP037,Kevin Davis,"New Brittanyhaven, Malta",9299
Audi A4,Japan,Sapporo,99827,4,399308,2028-09-28,CUST01441,Debra Anderson,70,Non-binary,Nissan,Toyota Corolla,2016,Truck,Cash,SP097,Dawn Ward,"South Carolside, Japan",3250
Audi A4,Germany,Hamburg,19755,3,59265,2028-09-29,CUST01442,Emily Dillon,32,Non-binary,Kia,Nissan Altima,2012,SUV,Credit Card,SP070,Kimberly Garrett,"Ericborough, Lao People's Democratic Republic",555
Honda Civic,USA,Houston,20947,9,188523,2028-09-30,CUST01443,Mike Ray,36,Male,BMW,Ford Focus,2012,Hatchback,Bank Transfer,SP072,Brittany Stephens,"West Wendyside, Syrian Arab Republic",4387
Chevrolet Malibu,Germany,Munich,50960,2,101920,2028-10-01,CUST01444,Keith Cox,42,Female,Hyundai,Kia Optima,2017,SUV,Credit Card,SP037,Jennifer Castillo,"Robertborough, Monaco",12635
Ford Focus,Germany,Berlin,16941,5,84705,2028-10-02,CUST01445,Tyler Welch,57,Female,BMW,BMW 3 Series,2006,Convertible,Cash,SP097,Isabel Ramos,"Moralesstad, Tunisia",10366
Chevrolet Malibu,France,Nice,77438,10,774380,2028-10-03,CUST01446,Matthew Andrews,61,Female,Audi,Nissan Altima,2008,SUV,Credit Card,SP064,Matthew Ferguson,"Kelleyborough, Somalia",4487
Chevrolet Malibu,Canada,Ottawa,77632,3,232896,2028-10-04,CUST01447,Mary Jones,47,Male,Mercedes,Ford Focus,2017,Sedan,Cash,SP069,Katherine Johnson,"Carrollfurt, French Southern Territories",3404
Mercedes C-Class,India,Chennai,43503,1,43503,2028-10-05,CUST01448,Jeffrey Blackburn,69,Male,Honda,Audi A4,2010,Sedan,Cash,SP082,Vickie Clayton,"East Brentchester, United Kingdom",7061
Honda Civic,Italy,Naples,82011,4,328044,2028-10-06,CUST01449,Nicole Shepard,26,Non-binary,Toyota,Nissan Altima,2003,Truck,Lease,SP013,Terri Morrow,"East Tylerhaven, Korea",10442
Ford Focus,China,Guangzhou,38766,4,155064,2028-10-07,CUST01450,Heather Lopez,36,Non-binary,BMW,Mercedes C-Class,2018,Minivan,Bank Transfer,SP099,Alejandro Peters,"Gallegosland, Sri Lanka",2091
Nissan Altima,China,Chongqing,18675,6,112050,2028-10-08,CUST01451,Daniel Campbell,54,Female,Nissan,Audi A4,2010,Sedan,Bank Transfer,SP083,Joseph Bishop,"West Robin, South Africa",11938
Hyundai Elantra,China,Beijing,58148,4,232592,2028-10-09,CUST01452,Renee Hammond,53,Non-binary,Toyota,Chevrolet Malibu,2004,Minivan,Credit Card,SP096,Danielle Brock,"New Edwinport, Niue",9891
Toyota Corolla,Italy,Rome,55190,7,386330,2028-10-10,CUST01453,Kelly Stafford,64,Male,BMW,Ford Focus,2009,Hatchback,Lease,SP046,Jennifer Cooper,"Mejiachester, Jordan",9334
Ford Focus,China,Chongqing,35489,2,70978,2028-10-11,CUST01454,Taylor Warren,69,Male,Nissan,Nissan Altima,2014,Truck,Cash,SP013,Pamela Miller,"Johnnyville, Netherlands Antilles",10587
Audi A4,USA,Chicago,73757,6,442542,2028-10-12,CUST01455,Joe Smith,41,Non-binary,Audi,BMW 3 Series,2011,SUV,Credit Card,SP006,James Quinn,"Elizabethtown, Libyan Arab Jamahiriya",13242
Hyundai Elantra,USA,New York,18195,8,145560,2028-10-13,CUST01456,George Kim,40,Male,Chevrolet,Audi A4,2020,SUV,Credit Card,SP050,Joshua Moore,"Davisburgh, Barbados",3750
BMW 3 Series,Japan,Osaka,21123,6,126738,2028-10-14,CUST01457,Nicholas Perez,66,Non-binary,Chevrolet,Kia Optima,2006,Sedan,Credit Card,SP055,Tina Andrews,"North Kimberg, Gibraltar",3307
Hyundai Elantra,Japan,Tokyo,98376,9,885384,2028-10-15,CUST01458,Daniel Long,27,Male,Hyundai,Hyundai Elantra,2003,Sedan,Lease,SP013,Michael Anderson,"East Jessicaside, Armenia",13729
Audi A4,China,Shanghai,15438,6,92628,2028-10-16,CUST01459,Terry Salinas,32,Female,Toyota,Chevrolet Malibu,2012,Sedan,Cash,SP029,April Poole,"Lake Ashleyville, Morocco",6787
Toyota Corolla,India,Bangalore,59444,10,594440,2028-10-17,CUST01460,Hannah Reynolds,56,Non-binary,Ford,Mercedes C-Class,2010,Hatchback,Credit Card,SP039,Carmen Shaw,"East Jessica, South Africa",6728
Honda Civic,USA,Chicago,96637,3,289911,2028-10-18,CUST01461,Marcus Anthony,47,Non-binary,Mercedes,Honda Civic,2019,Convertible,Cash,SP016,Donna Craig,"Zavalaborough, Nepal",7747
Mercedes C-Class,Japan,Sapporo,91450,9,823050,2028-10-19,CUST01462,Wesley Delgado,73,Female,Honda,Chevrolet Malibu,2005,Minivan,Credit Card,SP083,Jerry Diaz,"Aaronview, France",3829
Honda Civic,France,Lyon,46287,5,231435,2028-10-20,CUST01463,Wayne Castro,46,Non-binary,Ford,Honda Civic,2019,Minivan,Credit Card,SP034,Marcia Garner,"Martineztown, Ireland",12610
Chevrolet Malibu,India,Delhi,16210,2,32420,2028-10-21,CUST01464,Hayley Chen,27,Female,Chevrolet,Audi A4,2008,Truck,Cash,SP086,Christopher Rodriguez,"Danielleside, Kazakhstan",9870
BMW 3 Series,Italy,Turin,53595,8,428760,2028-10-22,CUST01465,Frank Mcintyre,43,Female,Kia,Hyundai Elantra,2012,Convertible,Cash,SP056,Joseph Cook,"Hayesland, Venezuela",4545
Nissan Altima,Italy,Naples,64228,4,256912,2028-10-23,CUST01466,Rachel Briggs,24,Male,Mercedes,Chevrolet Malibu,2020,SUV,Cash,SP031,Lisa Bowen,"Jimmyburgh, Hungary",5691
Mercedes C-Class,UK,London,85908,1,85908,2028-10-24,CUST01467,Laurie Johnson,51,Female,Audi,Mercedes C-Class,2015,Convertible,Bank Transfer,SP039,Charles Bright,"Port Amanda, Malaysia",14458
Audi A4,USA,Los Angeles,49817,9,448353,2028-10-25,CUST01468,William Jones,21,Female,Chevrolet,Chevrolet Malibu,2002,SUV,Bank Transfer,SP035,Robert Brown,"Port Michael, Uruguay",6170
Honda Civic,France,Toulouse,29417,5,147085,2028-10-26,CUST01469,Raymond Adams,44,Female,Kia,Toyota Corolla,2004,Coupe,Credit Card,SP039,Christy Mcguire,"Lake Michelleton, Denmark",13617
Kia Optima,Italy,Palermo,35926,8,287408,2028-10-27,CUST01470,Richard Wallace,66,Female,Honda,Mercedes C-Class,2000,Coupe,Credit Card,SP026,Kathleen Jones,"Sarahhaven, Rwanda",3444
BMW 3 Series,France,Marseille,16203,3,48609,2028-10-28,CUST01471,Robert Riley,27,Male,Chevrolet,Chevrolet Malibu,2023,Sedan,Bank Transfer,SP009,Jeffery Miller,"New Chadchester, Rwanda",3371
Honda Civic,China,Guangzhou,43963,7,307741,2028-10-29,CUST01472,Jodi Valenzuela,56,Female,BMW,Kia Optima,2011,Hatchback,Lease,SP050,April Hurley,"West Michaelmouth, Guinea-Bissau",785
Chevrolet Malibu,India,Mumbai,98295,7,688065,2028-10-30,CUST01473,Rhonda Avila,47,Female,Mercedes,Audi A4,2023,SUV,Lease,SP019,Todd Strong,"Faulknerville, Hungary",13341
Honda Civic,USA,New York,80666,5,403330,2028-10-31,CUST01474,John Foster,30,Male,Hyundai,Mercedes C-Class,2004,Hatchback,Bank Transfer,SP038,Jeremy Taylor,"Jillianmouth, Cyprus",8738
Toyota Corolla,Canada,Calgary,62260,2,124520,2028-11-01,CUST01475,Scott Brown,38,Male,BMW,Audi A4,2007,Truck,Credit Card,SP076,Julia Campbell,"Jeffreyhaven, New Caledonia",1586
Mercedes C-Class,India,Delhi,91618,8,732944,2028-11-02,CUST01476,Joshua Mcmahon,56,Non-binary,Nissan,Chevrolet Malibu,2011,Minivan,Lease,SP022,Michael Cabrera,"East Julieton, Croatia",11509
Honda Civic,Germany,Frankfurt,12877,10,128770,2028-11-03,CUST01477,Meagan Suarez,68,Female,Hyundai,Toyota Corolla,2018,Convertible,Bank Transfer,SP045,Melissa Evans,"Wilsonton, Mongolia",6080
Audi A4,Australia,Perth,38228,8,305824,2028-11-04,CUST01478,Barbara Harper,29,Non-binary,Honda,Nissan Altima,2011,SUV,Lease,SP058,Anthony Francis,"Reyesside, French Southern Territories",8829
Mercedes C-Class,Canada,Montreal,43845,6,263070,2028-11-05,CUST01479,Heather Dawson,27,Female,Nissan,Hyundai Elantra,2005,SUV,Cash,SP092,Robert Ramsey,"Danielview, Lebanon",12257
Hyundai Elantra,China,Guangzhou,91361,1,91361,2028-11-06,CUST01480,Susan Singh,74,Female,Toyota,BMW 3 Series,2009,Hatchback,Bank Transfer,SP005,David English,"Johnathanbury, Uruguay",5041
Honda Civic,India,Bangalore,84581,4,338324,2028-11-07,CUST01481,David Wiggins,62,Non-binary,Honda,Honda Civic,2008,Minivan,Lease,SP046,John Lindsey,"Robertfort, Mauritania",13955
Chevrolet Malibu,USA,Houston,85778,8,686224,2028-11-08,CUST01482,Mr. James Hunter PhD,54,Male,Mercedes,Mercedes C-Class,2011,Hatchback,Bank Transfer,SP063,Christine Martinez,"Kevinside, Reunion",12437
Audi A4,Japan,Osaka,85509,6,513054,2028-11-09,CUST01483,Mr. Evan Wagner,32,Non-binary,Mercedes,Mercedes C-Class,2019,Coupe,Lease,SP085,Maria Schneider,"Hallfurt, Panama",6316
Chevrolet Malibu,Japan,Sapporo,54476,3,163428,2028-11-10,CUST01484,Alicia Ross,33,Female,Toyota,Kia Optima,2000,SUV,Bank Transfer,SP020,Heather Kim,"Connermouth, Aruba",11531
Honda Civic,France,Marseille,85400,3,256200,2028-11-11,CUST01485,Aaron Wright,72,Male,Ford,BMW 3 Series,2005,Minivan,Cash,SP073,Benjamin Harper,"Mortonberg, Germany",4198
